epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
46	0:0	0.01	1.48	46.9	90.8	2.65	21.0	77.8
47	0:0	0.01	1.48	46.9	90.9	2.68	20.5	77.8
48	0:0	0.01	1.49	46.3	90.7	2.65	20.8	78.1
49	0:0	0.01	1.48	47.0	90.9	2.63	20.9	78.4
50	0:0	0.01	1.48	46.8	90.9	2.68	21.0	78.1
51	0:0	0.01	1.48	46.8	90.9	2.66	20.7	78.1
52	0:0	0.01	1.48	47.1	91.0	2.67	20.8	77.8
53	0:0	0.01	1.48	46.9	91.0	2.68	20.6	78.3
54	0:0	0.01	1.48	47.1	90.9	2.66	20.6	77.6
55	0:0	0.01	1.48	47.2	90.8	2.65	20.4	77.7
56	0:0	0.01	1.48	47.0	90.9	2.68	20.8	77.7
57	0:0	0.01	1.48	46.9	91.0	2.68	20.3	77.5
58	0:0	0.01	1.48	47.1	90.9	2.59	21.0	77.7
59	0:0	0.01	1.47	47.2	91.0	2.64	20.9	78.1
60	0:0	0.001	1.47	47.4	91.1	2.64	21.0	77.9
61	0:0	0.001	1.47	47.6	91.2	2.66	20.9	77.8
62	0:0	0.001	1.47	47.6	91.1	2.65	20.9	77.8
63	0:0	0.001	1.47	47.5	91.1	2.65	20.8	77.9
64	0:0	0.001	1.46	47.6	91.1	2.65	20.8	78.0
65	0:0	0.001	1.46	47.7	91.4	2.66	20.9	78.0
66	0:0	0.001	1.46	47.3	91.2	2.65	20.9	78.2
67	0:0	0.001	1.47	47.5	91.0	2.67	20.9	78.0
68	0:0	0.001	1.47	47.6	91.2	2.66	20.9	78.0
69	0:0	0.001	1.46	47.5	91.1	2.67	20.9	77.9
70	0:0	0.001	1.47	47.8	91.1	2.65	20.9	78.0
71	0:0	0.001	1.47	47.3	91.3	2.66	20.8	77.9
72	0:0	0.001	1.46	47.7	91.3	2.67	20.8	77.9
73	0:0	0.001	1.46	47.6	91.0	2.67	20.7	77.9
74	0:0	0.001	1.47	47.3	90.9	2.66	20.9	78.0
75	0:0	0.001	1.47	47.6	91.4	2.67	20.7	77.8
76	0:0	0.001	1.46	47.5	91.3	2.66	20.9	77.9
77	0:0	0.001	1.46	47.6	91.3	2.66	20.8	78.1
78	0:0	0.001	1.46	47.9	91.1	2.65	20.8	78.0
79	0:0	0.001	1.46	47.6	91.1	2.66	20.7	77.9
80	0:0	0.001	1.46	47.2	91.2	2.65	20.7	78.0
81	0:0	0.001	1.46	47.7	91.0	2.64	20.7	78.1
82	0:0	0.001	1.46	47.7	91.1	2.65	20.8	77.9
83	0:0	0.001	1.46	47.8	91.2	2.65	20.8	78.0
84	0:0	0.001	1.47	47.4	91.2	2.66	20.5	77.9
85	0:0	0.001	1.46	47.6	91.3	2.64	20.9	78.1
86	0:0	0.001	1.46	47.7	91.3	2.66	20.7	78.0
87	0:0	0.001	1.47	47.4	91.2	2.67	20.6	78.0
88	0:0	0.001	1.46	47.7	91.2	2.62	21.0	78.3
89	0:0	0.001	1.46	47.6	91.2	2.63	21.0	78.2
