epoch	time	lr	train loss	train acc	train acc5	testloss	test acc	test acc5
0	0:0	0.1	2.06	23.1	74.2	2.81	15.7	68.7
1	0:0	0.1	1.85	31.8	83.3	2.97	14.7	67.6
2	0:0	0.1	1.79	34.4	85.1	2.92	14.7	67.2
3	0:0	0.1	1.76	35.8	85.9	2.85	17.3	71.8
4	0:0	0.1	1.72	37.0	86.6	3.14	15.2	70.0
5	0:0	0.1	1.7	38.1	87.3	3.26	17.3	70.3
6	0:0	0.1	1.69	38.8	87.6	2.9	17.9	73.4
7	0:0	0.1	1.67	39.3	87.7	2.66	19.0	75.7
8	0:0	0.1	1.66	40.1	88.2	2.92	16.9	73.3
9	0:0	0.1	1.64	40.5	88.4	2.96	17.8	73.7
10	0:0	0.1	1.63	40.7	88.7	2.95	17.1	72.5
11	0:0	0.1	1.63	41.0	88.6	2.66	18.3	74.9
12	0:0	0.1	1.62	41.4	88.7	3.05	17.6	72.4
13	0:0	0.1	1.61	41.9	89.1	3.09	16.0	70.0
14	0:0	0.1	1.61	42.1	88.8	2.88	18.6	74.0
15	0:0	0.1	1.6	42.2	89.0	3.25	16.0	71.5
16	0:0	0.1	1.59	42.2	89.5	2.87	17.7	74.0
17	0:0	0.1	1.59	42.6	89.3	2.84	19.4	77.8
18	0:0	0.1	1.58	43.1	89.3	2.95	18.6	73.6
19	0:0	0.1	1.58	43.2	89.4	2.85	18.9	75.5
20	0:0	0.1	1.58	43.0	89.4	2.84	17.6	75.4
21	0:0	0.1	1.58	43.4	89.5	2.67	18.4	75.2
22	0:0	0.1	1.57	43.6	89.6	2.94	17.9	75.5
23	0:0	0.1	1.57	43.6	89.6	2.77	18.3	76.6
24	0:0	0.1	1.56	43.6	89.8	2.8	18.7	72.8
25	0:0	0.1	1.56	43.7	89.8	2.72	19.1	75.4
26	0:0	0.1	1.55	43.9	89.7	2.71	19.1	75.8
27	0:0	0.1	1.55	44.2	89.8	2.89	18.9	77.1
28	0:0	0.1	1.55	44.2	89.9	2.78	18.8	74.5
29	0:0	0.1	1.54	44.5	90.1	2.8	19.7	76.0
30	0:0	0.01	1.51	46.0	90.4	2.59	20.8	77.9
31	0:0	0.01	1.5	46.1	90.6	2.66	20.3	77.2
32	0:0	0.01	1.5	45.9	90.7	2.68	20.6	77.2
33	0:0	0.01	1.5	46.4	90.5	2.61	20.6	77.7
34	0:0	0.01	1.49	46.3	90.7	2.65	20.1	78.0
35	0:0	0.01	1.49	46.7	91.0	2.74	20.5	77.2
36	0:0	0.01	1.48	46.5	90.9	2.64	20.7	77.7
37	0:0	0.01	1.49	46.6	91.0	2.66	20.1	77.2
38	0:0	0.01	1.48	46.7	91.0	2.68	20.6	77.5
39	0:0	0.01	1.49	46.5	90.7	2.64	20.4	77.7
40	0:0	0.01	1.49	46.7	90.8	2.66	20.4	77.7
41	0:0	0.01	1.48	46.8	91.0	2.66	20.4	77.9
42	0:0	0.01	1.49	46.8	90.9	2.66	20.7	78.2
43	0:0	0.01	1.48	46.6	90.7	2.64	21.1	77.8
44	0:0	0.01	1.48	46.8	91.0	2.71	20.7	77.8
45	0:0	0.01	1.49	46.6	90.9	2.72	20.7	77.3
